SampleIdx,Signal_I,Strobe_Center,Strobe_Joint
1290,2586,0,0
1291,10620,0,0
1292,11471,0,0
1293,-10933,0,0
1294,15246,0,0
1295,-16234,0,0
1296,-5413,0,0
1297,-14675,0,0
1298,-645,0,0
1299,852,0,0
1300,-17935,0,0
1301,20433,0,0
1302,5831,0,0
1303,6482,0,0
1304,15681,0,0
1305,-13375,0,0
1306,10637,0,0
1307,-4962,0,0
1308,-6537,0,0
1309,-9423,0,0
1310,15007,0,0
1311,2270,0,0
1312,-15670,0,0
1313,10346,0,0
1314,-4361,0,0
1315,20473,0,0
1316,-13574,0,0
1317,-9175,0,0
1318,-5940,0,0
1319,-16672,0,0
1320,-15661,0,0
1321,-16140,0,0
1322,15882,0,0
1323,-6359,0,0
1324,-10019,0,0
1325,-1075,0,0
1326,-8338,0,0
1327,-3251,0,0
1328,7141,0,0
1329,16508,0,0
1330,6597,0,0
1331,5863,0,0
1332,-5363,0,0
1333,-14486,0,0
1334,1803,0,0
1335,-5542,0,0
1336,-15407,0,0
1337,13922,0,0
1338,17942,0,0
1339,16382,0,0
1340,2089,0,0
1341,-11068,0,0
1342,-9832,0,0
1343,-6720,0,0
1344,-2603,0,0
1345,-9226,0,0
1346,1499,0,0
1347,13109,0,0
1348,7601,0,0
1349,-5187,0,0
1350,5264,0,0
1351,727,0,0
1352,-18634,0,0
1353,2264,0,0
1354,-7827,0,0
1355,8921,0,0
1356,18716,0,0
1357,-12229,0,0
1358,16426,0,0
1359,10934,0,0
1360,-13509,0,0
1361,-647,0,0
1362,3623,0,0
1363,6497,0,0
1364,4964,0,0
1365,-9990,0,0
1366,16258,0,0
1367,9526,0,0
1368,16383,0,0
1369,-3909,0,0
1370,-1718,0,0
1371,15564,0,0
1372,10190,0,0
1373,-2,0,0
1374,3032,0,0
1375,-22832,0,0
1376,3289,0,0
1377,848,0,0
1378,17559,0,0
1379,2490,0,0
1380,-10986,0,0
1381,1842,0,0
1382,-3771,0,0
1383,-5100,0,0
1384,17218,0,0
1385,17707,0,0
1386,13481,0,0
1387,-21311,0,0
1388,-7774,0,0
1389,5559,0,0
1390,8122,0,0
1391,-6525,0,0
1392,-5844,0,0
1393,-21405,0,0
1394,-15877,0,0
1395,17331,0,0
1396,7804,0,0
1397,15985,0,0
1398,-7806,0,0
1399,-12118,0,0
1400,-21466,0,0
1401,-1367,0,0
1402,-11176,0,0
1403,16677,0,0
1404,8389,0,0
1405,-1390,0,0
1406,-8139,0,0
1407,-20083,0,0
1408,11062,15000,0
1409,-16101,0,0
1410,-21857,0,0
1411,18179,0,0
1412,265,0,0
1413,-4225,0,0
1414,357,0,0
1415,7675,0,0
1416,10465,0,0
1417,-15835,0,0
1418,10548,0,0
