SampleIdx,F_990Hz,F_992Hz,F_994Hz,F_996Hz,F_998Hz,F_1000Hz,F_1002Hz,F_1004Hz,F_1006Hz,F_1008Hz,F_1010Hz
20288,8851.18,41436.68,25177.00,14103.66,26385.40,106594.92,15533.48,23565.67,27050.63,810.73,26623.52
20304,8800.75,41325.64,25089.55,14099.96,26295.65,106747.05,15590.19,23584.72,27003.79,796.32,26601.27
20320,8813.17,41319.84,25058.17,14281.45,26215.73,107126.38,15521.60,23828.84,26748.84,764.98,26342.59
20336,8973.36,41656.65,25308.74,14389.37,26438.54,106912.23,15308.79,23948.75,26691.38,781.94,26187.47
20352,9162.25,42033.18,25572.31,14588.96,26633.70,106898.30,15064.97,24211.52,26477.87,777.65,25875.68
20368,9215.96,42186.22,25717.46,14517.42,26817.42,106510.81,14971.75,24139.54,26592.85,809.30,25901.14
20384,9218.13,42230.50,25782.04,14430.49,26932.48,106205.34,14927.79,24051.77,26708.63,836.01,25946.09
20400,9189.68,42244.70,25853.18,14264.75,27107.93,105689.18,14868.57,23890.43,26914.44,882.84,26022.28
20416,9189.51,42324.16,25976.91,14131.86,27327.81,105174.02,14757.02,23804.83,27046.46,923.82,25994.67
20432,9122.78,42189.68,25887.38,14060.90,27286.11,105097.84,14813.29,23692.29,27164.93,941.31,26101.07
20448,9106.38,42098.03,25776.13,14112.18,27127.14,105377.02,14918.97,23667.58,27171.15,929.47,26211.64
20464,9032.23,42016.00,25782.79,13966.75,27265.04,104948.20,14848.24,23579.92,27284.64,963.29,26155.93
20480,8829.37,41646.98,25587.73,13707.34,27307.57,104393.25,14871.63,23302.27,27602.60,1033.59,26224.53
20496,8669.86,41358.17,25442.61,13502.85,27366.14,103921.40,14863.20,23113.93,27821.68,1087.53,26212.74
20512,8563.68,41160.50,25341.65,13368.01,27407.13,103601.05,14851.72,22996.90,27958.44,1123.29,26180.86
20528,8577.90,41164.39,25321.67,13393.75,27355.25,103695.73,14888.94,22976.44,27979.96,1124.06,26233.70
20544,8566.90,41114.96,25270.57,13385.02,27311.21,103701.79,14922.08,22923.77,28038.74,1135.35,26264.09
